id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1	亜	7	7	象形_Pictographic	1	Ni	6	1	5	0	1981	13829	1457	S
2	哀	9	7	会意_Com_Ideographic	1	Kuchi_Kuchihen	70	1	3	8	1981	4792	4651	R
3	挨	10	7	形声_Phonetic	0	Tehen	89	1	1	0	2010	324	324	
4	愛	13	4	会意_Com_Ideographic	3	Kokoro_Risshinben_Shitagokoro	76	1	3	0	1981	94602	50443	R
5	曖	17	7	形声_Phonetic	0	Nichi_Nichihen	38	1	2	0	2010	214	214	
6	悪	11	3	形声_Phonetic	4	Kokoro_Risshinben_Shitagokoro	76	2	5	17	1981	91570	91516	R
7	握	12	7	形声_Phonetic	1	Tehen	89	1	6	6	1981	26582	26582	
8	圧	5	5	会意_Com_Ideographic	2	Tsuchi_Tsuchihen	50	1	4	0	1981	58313	58272	S
9	扱	6	7	形声_Phonetic	1	Tehen	89	0	0	8	1981	22559	22559	
10	宛	8	7	会意_Com_Ideographic	0	Ukanmuri	36	0	0	1	2010	165	165	S
11	嵐	12	7	会意_Com_Ideographic	1	Yama_Yamahen	16	0	0	2	2010	6337	2046	P
12	安	6	3	会意_Com_Ideographic	4	Ukanmuri	36	1	4	6	1981	358754	276286	R
13	案	10	4	形声_Phonetic	1	Ki_Kihen	85	1	10	0	1981	182072	182072	P
14	暗	13	3	形声_Phonetic	3	Nichi_Nichihen	38	1	1	6	1981	20182	20182	R
15	以	5	4	象形_Pictographic	4	Hito_Ninben_Hitoyane	104	1	5	0	1981	320232	319095	R
16	衣	6	4	象形_Pictographic	2	Koromo_Koromohen	21	1	1	5	1981	17482	14250	S
17	位	7	4	会意_Com_Ideographic	3	Hito_Ninben_Hitoyane	104	1	3	8	1981	268425	265390	P
18	囲	7	4	形声_Phonetic	2	Kunigamae	12	1	1	7	1981	58559	58559	S
19	医	7	3	会意_Com_Ideographic	4	Kakushigamae	4	1	3	0	1981	136879	130946	R
20	依	8	7	会意_Com_Ideographic	2	Hito_Ninben_Hitoyane	104	2	1	0	1981	29057	25622	S
21	委	8	3	会意_Com_Ideographic	2	Onna_Onnahen	36	1	2	2	1981	200980	197575	S
22	威	9	7	会意_Com_Ideographic	1	Onna_Onnahen	36	1	3	0	1981	20554	19116	S
23	為	9	7	会意_Com_Ideographic	1	Hi_Hihen_Renga	26	1	3	0	1981	164942	164816	P
24	畏	9	7	象形_Pictographic	0	Ta_Tahen	19	1	3	3	2010	503	503	
25	胃	9	4	会意_Com_Ideographic	2	Niku_Nikuzuki	44	1	4	0	1981	4658	4658	R
26	尉	11	7	会意_Com_Ideographic	1	Sun	12	1	4	0	1981	1209	1195	S
27	異	11	6	象形_Pictographic	1	Ta_Tahen	19	1	4	3	1981	61359	61359	R
28	移	11	5	会意_Com_Ideographic	2	Nogi_Nogihen	23	1	10	14	1981	102395	102232	R
29	萎	11	7	形声_Phonetic	0	Kusakanmuri	47	1	5	5	2010	889	889	
30	偉	12	7	形声_Phonetic	3	Hito_Ninben_Hitoyane	104	1	1	4	1981	6493	6492	R
31	椅	12	7	形声_Phonetic	0	Ki_Kihen	85	1	1	0	2010	4614	4614	
32	彙	13	7	象形_Pictographic	0	Keigashira	1	1	1	1	2010	256	256	
33	意	13	3	会意_Com_Ideographic	4	Kokoro_Risshinben_Shitagokoro	76	1	11	0	1981	352971	352894	P
34	違	13	7	形声_Phonetic	3	Shinnyoo	51	1	6	14	1981	138810	138798	S
35	維	14	7	形声_Phonetic	1	Ito_Itohen	63	1	2	0	1981	38011	37233	
36	慰	15	7	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	3	6	1981	8249	8207	S
37	遺	15	6	形声_Phonetic	1	Shinnyoo	51	2	4	0	1981	86356	86349	R
38	緯	16	7	形声_Phonetic	1	Ito_Itohen	63	1	5	0	1981	10135	10134	S
39	域	11	6	形声_Phonetic	2	Tsuchi_Tsuchihen	50	1	4	0	1981	98814	98804	P
40	育	8	3	会意_Com_Ideographic	3	Niku_Nikuzuki	44	1	4	7	1981	152386	145588	P
41	一	1	1	指事_Ideographic	5	Ichi	14	2	2	5	1981	1037182	848362	R
42	壱	7	7	象形_Pictographic	1	Samurai	5	1	1	0	1981	649	225	
43	逸	11	7	会意_Com_Ideographic	1	Shinnyoo	51	1	2	0	1981	13749	9754	S
44	茨	9	7	形声_Phonetic	0	Kusakanmuri	47	0	2	2	2010	22322	303	
45	芋	6	7	形声_Phonetic	1	Kusakanmuri	47	0	0	1	1981	1185	1099	S
46	引	4	2	会意_Com_Ideographic	3	Yumi_Yumihen	11	1	29	33	1981	217815	217047	S
47	印	6	4	会意_Com_Ideographic	2	Fushizukuri_Warifu	6	1	3	14	1981	55714	48983	S
48	因	6	5	会意_Com_Ideographic	3	Kunigamae	12	1	2	2	1981	72152	71737	P
49	咽	9	7	形声_Phonetic	0	Kuchi_Kuchihen	70	1	2	0	2010	462	462	
50	姻	9	7	形声_Phonetic	1	Onna_Onnahen	36	1	1	0	1981	1079	1079	
51	員	10	3	象形_Pictographic	4	Kuchi_Kuchihen	70	1	3	0	1981	545063	544702	P
52	院	10	3	形声_Phonetic	4	Kozatohen	31	1	8	0	1981	309380	140029	P
53	淫	11	7	形声_Phonetic	0	Mizu_Sanzui_Shitamizu	118	1	2	3	2010	195	195	
54	陰	11	7	形声_Phonetic	1	Kozatohen	31	1	15	6	1981	9803	9192	S
55	飲	12	3	会意_Com_Ideographic	4	Shoku_Shokuhen	12	1	2	9	1981	33925	33924	S
56	隠	14	7	形声_Phonetic	1	Kozatohen	31	1	6	10	1981	30520	29893	R
57	韻	19	7	形声_Phonetic	1	Oto	3	1	3	0	1981	1118	1118	S
58	右	5	1	会意_Com_Ideographic	5	Kuchi_Kuchihen	70	2	2	2	1981	118918	116443	R
59	宇	6	6	形声_Phonetic	2	Ukanmuri	36	1	4	0	1981	44514	21014	S
60	羽	6	2	象形_Pictographic	2	Hane	6	1	1	6	1981	46076	11101	S
61	雨	8	1	象形_Pictographic	5	Ame_Amekanmuri	13	1	2	2	1981	27122	26169	S
62	唄	10	7	形声_Phonetic	1	Kuchi_Kuchihen	70	0	0	1	2010	2270	2052	P
63	鬱	29	7	会意_Com_Ideographic	0	Cho_Nioizake	1	1	3	0	2010	595	595	S
64	畝	10	7	形声_Phonetic	1	Ta_Tahen	19	0	0	3	1981	649	341	
65	浦	10	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	0	0	6	1981	49738	1767	
66	運	12	3	形声_Phonetic	4	Shinnyoo	51	1	5	4	1981	168926	161376	S
67	雲	12	2	形声_Phonetic	2	Ame_Amekanmuri	13	1	1	1	1981	12988	8889	S
68	永	5	5	象形_Pictographic	2	Mizu_Sanzui_Shitamizu	118	1	2	2	1981	42048	8370	R
